group,subgroup,dimension_label,Видимість (Toggle),dimension_name,dimension_value_type,sql_table,sql_name,catalog,dimension_src,is_valid,
4. Фінанси та Вантаж,Вартість та Оплата,Сума за пакування,Логістика,ew_packaging_price,NUMBER,client_parcels_detail,Сума за Пакування,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Сума за Пакування,yes,
4. Фінанси та Вантаж,Вартість та Оплата,Тип оплати,Логістика,ew_payment_method,NUMBER,client_parcels_detail,PaymentMethod,payment_method,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].PaymentMethod,yes,
4. Фінанси та Вантаж,Вартість та Оплата,Наявність промокоду,Логістика,ew_promocode,BOOLEAN,client_parcels_detail,Promocode,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Promocode,yes,
4. Фінанси та Вантаж,Вартість та Оплата,Наявність претензій,Логістика,has_claims,BOOLEAN,client_parcels_detail,Pretense,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Pretense,yes,
4. Фінанси та Вантаж,Грошовий переказ,Наявність переказу,Логістика,has_money_transfer,BOOLEAN,client_parcels_detail,Наявність Грошового переказу/конр,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Наявність Грошового переказу/конр,yes,
4. Фінанси та Вантаж,Грошовий переказ,Сума переказу,Логістика,money_transfer_amount,NUMBER,client_parcels_detail,Переказ/NovaPay,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].Переказ/NovaPay,yes,
4. Фінанси та Вантаж,Додатково,Ознака Маркетплейсу,Логістика,marketplace,NUMBER,client_parcels_detail,MarketPlace,marketplace,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].MarketPlace,yes,
5. Географія та Локації,Загальна географія,Тип населеного пункту відправника,Логістика,sender_settlement_type,STRING,growth_sender_catalog_warehouses,settlementtypes,settlement_type,FROM [GROWTH_CatalogWarehouses].SettlementTypes,yes,
5. Географія та Локації,Загальна географія,Тип населеного пункту отримувача,Логістика,recipient_settlement_type,STRING,growth_recipient_catalog_warehouses,settlementtypes,settlement_type,FROM [GROWTH_CatalogWarehouses].SettlementTypes,yes,
5. Географія та Локації,Загальна географія,Регіональний центр відправника,Логістика,sender_regional_center,BOOLEAN,growth_sender_catalog_warehouses,isregionalcitycentral,none,FROM [GROWTH_CatalogWarehouses].IsRegionalCityCentral,yes,
5. Географія та Локації,Загальна географія,Регіональний центр отримувача,Логістика,recipient_regional_center,BOOLEAN,growth_recipient_catalog_warehouses,isregionalcitycentral,none,FROM [GROWTH_CatalogWarehouses].IsRegionalCityCentral,yes,
5. Географія та Локації,Загальна географія,Місто обл.центр (0/1),B2C,c_is_regional_capital_city,BOOLEAN,growth_catalog_clients_c,IsRegionalCityCenterFavoritePoint,none,[v_Growth_catalog_clients_C].IsRegionalCityCenterFavoritePoint,yes,
5. Географія та Локації,Загальна географія,Місто обл.центр (0/1),B2B,b_is_regional_capital_city,BOOLEAN,growth_catalog_clients_b,IsRegionalCityCenterFavoritePoint,none,[v_Growth_catalog_clients_B].IsRegionalCityCenterFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Улюблена точка обслуговування (назва/номер),B2C,c_favorite_service_point_name_or_number,STRING,growth_catalog_clients_c,NameFavoritePoint,not possible w/o id,[v_Growth_catalog_clients_C].NameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Улюблена точка обслуговування (назва/номер),B2B,b_favorite_service_point_name_or_number,STRING,growth_catalog_clients_b,NameFavoritePoint,not possible w/o id,[v_Growth_catalog_clients_B].NameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Тип улюбленої точки контакту,B2C,c_favorite_contact_point_type,STRING,growth_catalog_clients_c,TypeFavoritePoint,enum_type_point,[v_Growth_catalog_clients_C].TypeFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Тип улюбленої точки контакту,B2B,b_favorite_contact_point_type,STRING,growth_catalog_clients_b,TypeFavoritePoint,enum_type_point,[v_Growth_catalog_clients_B].TypeFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва міста по улюбленій точці,B2C,c_favorite_point_city_name,STRING,growth_catalog_clients_c,GeoCityNameFavoritePoint,city_text,[v_Growth_catalog_clients_C].GeoCityNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва міста по улюбленій точці,B2B,b_favorite_point_city_name,STRING,growth_catalog_clients_b,GeoCityNameFavoritePoint,city_text,[v_Growth_catalog_clients_B].GeoCityNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва регіону по улюбленій точці,B2C,c_favorite_point_region_name,STRING,growth_catalog_clients_c,GeoAreaNameFavoritePoint,area_text,[[v_Growth_catalog_clients_C].GeoAreaNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва регіону по улюбленій точці,B2B,b_favorite_point_region_name,STRING,growth_catalog_clients_b,GeoAreaNameFavoritePoint,area_text,[v_Growth_catalog_clients_B].GeoAreaNameFavoritePoint,yes,
5. Географія та Локації,Остання точка,Місто останньої точки обслуговування,B2C,c_last_service_point_city,STRING,growth_catalog_clients_c,GeoCityNameLastPoint_EN,city_text,[v_Growth_catalog_clients_C].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Місто останньої точки обслуговування,B2B,b_last_service_point_city,STRING,growth_catalog_clients_b,GeoCityNameLastPoint_EN,city_text,[v_Growth_catalog_clients_B].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Остання точка обслуговування (назва),B2C,c_last_service_point_name,STRING,growth_catalog_clients_c,NameLastPoint_EN,not possible w/o id,[v_Growth_catalog_clients_C].NameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Остання точка обслуговування (назва),B2B,b_last_service_point_name,STRING,growth_catalog_clients_b,NameLastPoint_EN,not possible w/o id,[v_Growth_catalog_clients_B].NameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Тип останньої точки контакту,B2C,c_last_contact_point_type,STRING,growth_catalog_clients_c,TypeLastPoint_EN,enum_type_point,[v_Growth_catalog_clients_C].TypeLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Тип останньої точки контакту,B2B,b_last_contact_point_type,STRING,growth_catalog_clients_b,TypeLastPoint_EN,enum_type_point,[v_Growth_catalog_clients_B].TypeLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Назва міста по останній точці контакту,B2C,c_last_contact_point_city_name,STRING,growth_catalog_clients_c,GeoCityNameLastPoint_EN,,[v_Growth_catalog_clients_C].GeoCityNameLastPoint_EN,no,дубль
5. Географія та Локації,Остання точка,Назва міста по останній точці контакту,B2B,b_last_contact_point_city_name,STRING,growth_catalog_clients_b,GeoCityNameLastPoint_EN,,[v_Growth_catalog_clients_B].GeoCityNameLastPoint_EN,no,дубль
5. Географія та Локації,Остання точка,Назва регіону по останній точці контакту,B2C,c_last_contact_point_region_name,STRING,growth_catalog_clients_c,GeoAreaNameLastPoint_EN,area_text,[v_Growth_catalog_clients_C].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Назва регіону по останній точці контакту,B2B,b_last_contact_point_region_name,STRING,growth_catalog_clients_b,GeoAreaNameLastPoint_EN,area_text,[v_Growth_catalog_clients_B].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Основні локації,Місто основного відділення,Логістика,primary_branch_city,STRING,document_gc_nova_main,param_78,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 78,yes,
5. Географія та Локації,Основні локації,Назва основного відділення,Логістика,primary_branch_name,STRING,document_gc_nova_main,param_77,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 77,yes,
5. Географія та Локації,Основні локації,Місто основного поштомату,Логістика,primary_parcel_locker_city,STRING,document_gc_nova_main,param_82,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 82,yes,
5. Географія та Локації,Основні локації,Назва основного поштомату,Логістика,primary_parcel_locker_name,STRING,document_gc_nova_main,param_81,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 81,yes,
5. Географія та Локації,Резервні локації,Місто резервного відділення,Логістика,backup_branch_city,STRING,document_gc_nova_main,param_80,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 80,yes,
5. Географія та Локації,Резервні локації,Назва резервного відділення,Логістика,backup_branch_name,STRING,document_gc_nova_main,param_79,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 79,yes,
5. Географія та Локації,Резервні локації,Місто резервного поштомату,Логістика,backup_parcel_locker_city,STRING,document_gc_nova_main,param_84,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 84,yes,
5. Географія та Локації,Резервні локації,Назва резервного поштомату,Логістика,backup_parcel_locker_name,STRING,document_gc_nova_main,param_83,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 83,yes,
6. Активність за Каналами,Транзакції (дати),Дата першої транзакції,Логістика,first_transaction_date,DATETIME,document_gc_nova_main,param_15,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 15,yes,
6. Активність за Каналами,Транзакції (дати),Дата останньої транзакції,Логістика,last_transaction_date,DATETIME,document_gc_nova_main,param_16,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 16,yes,
6. Активність за Каналами,Транзакції (дати),Днів без відправки/отримання,B2C,c_days_without_sending_or_receiving,NUMBER,growth_catalog_clients_c,Count_Day_without_EN,none,[v_Growth_catalog_clients_C].Count_Day_without_EN,yes,
6. Активність за Каналами,Транзакції (дати),Днів без відправки/отримання,B2B,b_days_without_sending_or_receiving,NUMBER,growth_catalog_clients_b,Count_Day_without_EN,none,[v_Growth_catalog_clients_B].Count_Day_without_EN,yes,
6. Активність за Каналами,Транзакції (дати),К-сть ЕН (загальна),B2C,c_ew_count_total,NUMBER,growth_catalog_clients_c,Count_EN,none,[v_Growth_catalog_clients_C].Count_EN,yes,
6. Активність за Каналами,Транзакції (дати),К-сть ЕН (загальна),B2B,b_ew_count_total,NUMBER,growth_catalog_clients_b,Count_EN,none,[v_Growth_catalog_clients_B].Count_EN,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата першої ЕН відділення,Логістика,first_branch_ew_date,DATETIME,growth_catalog_clients_c,FirstDate_EN_branch,none,[v_Growth_catalog_clients_C].FirstDate_EN_branch,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата останньої ЕН відділення,Логістика,last_branch_ew_date,DATETIME,growth_catalog_clients_c,LastDate_EN_branch,none,[v_Growth_catalog_clients_C].LastDate_EN_branch,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата першої ЕН поштомат,Логістика,first_parcel_locker_ew_date,DATETIME,growth_catalog_clients_c,FirstDate_EN_psh,none,[v_Growth_catalog_clients_C].FirstDate_EN_psh,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата останньої ЕН поштомат,Логістика,last_parcel_locker_ew_date,DATETIME,growth_catalog_clients_c,LastDate_EN_psh,none,[v_Growth_catalog_clients_C].LastDate_EN_psh,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата першої ЕН АО,Логістика,first_ao_ew_date,DATETIME,growth_catalog_clients_c,FirstDate_EN_AO,none,[v_Growth_catalog_clients_C].FirstDate_EN_AO,yes,
6. Активність за Каналами,Відділення та Поштомати,Дата останньої ЕН АО,Логістика,last_ao_ew_date,DATETIME,growth_catalog_clients_c,LastDate_EN_AO,none,[v_Growth_catalog_clients_C].LastDate_EN_AO,yes,
6. Активність за Каналами,Інші канали,Дата першої ЕН міжнародний напрямок,Не визначено,first_international_ew_date,DATETIME,,,,".разрахункове, будемо додавати в [v_Growth_catalog_clients_C]",next iteration,
6. Активність за Каналами,Інші канали,Дата останньої ЕН міжнародний напрямок,Не визначено,last_international_ew_date,DATETIME,,,,".разрахункове, будемо додавати в [v_Growth_catalog_clients_C]",next iteration,
6. Активність за Каналами,Інші канали,Дата першої ЕН Цифровий помічник,Не визначено,first_digital_assistant_ew_date,DATETIME,,,,".разрахункове, будемо додавати в [v_Growth_catalog_clients_C]",next iteration,
6. Активність за Каналами,Інші канали,Дата останньої ЕН Цифровий помічник,Не визначено,last_digital_assistant_ew_date,DATETIME,,,,".разрахункове, будемо додавати в [v_Growth_catalog_clients_C]",next iteration,
6. Активність за Каналами,Специфіка B2B,Фулфілмент,B2B,is_fulfillment,BOOLEAN,growth_catalog_clients_b,Fulfillment,none,[v_Growth_catalog_clients_B].Fulfillment,yes,
6. Активність за Каналами,Специфіка B2B,Дата першої відправленої ЕН,B2B,first_sent_ew_date,DATETIME,growth_catalog_clients_b,FirstDate_EN_send,none,[v_Growth_catalog_clients_B].FirstDate_EN_send,yes,
6. Активність за Каналами,Специфіка B2B,Дата останньої відправленої ЕН,B2B,last_sent_ew_date,DATETIME,growth_catalog_clients_b,LastDate_EN_send,none,[v_Growth_catalog_clients_B].LastDate_EN_send,yes,
6. Активність за Каналами,Специфіка B2B,Дата першої отриманої ЕН,B2B,first_received_ew_date,DATETIME,growth_catalog_clients_b,FirstDate_EN_recipient,none,[v_Growth_catalog_clients_B].FirstDate_EN_recipient,yes,
6. Активність за Каналами,Специфіка B2B,Дата останньої отриманої ЕН,B2B,last_received_ew_date,DATETIME,growth_catalog_clients_b,LastDate_EN_recipient,none,[v_Growth_catalog_clients_B].LastDate_EN_recipient,yes,
7. Додаток та Пристрої,Статус додатка,Користувач мобільного додатка (Так/Ні),Не визначено,is_mobile_app_user,BOOLEAN,,,,Не надо,no needed,
7. Додаток та Пристрої,Статус додатка,Наявність додатка (загальна),Логістика,has_mobile_app,BOOLEAN,growth_catalog_clients_c,IsApp,none,[v_Growth_catalog_clients_C].IsApp,yes,
7. Додаток та Пристрої,Статус додатка,Наявність додатка (загальна),B2C,has_mobile_app,BOOLEAN,growth_catalog_clients_c,IsApp,none,[v_Growth_catalog_clients_C].IsApp,yes,
7. Додаток та Пристрої,Статус додатка,Наявність старого додатка,Логістика,has_old_app,BOOLEAN,growth_catalog_clients_c,IsApp_old,none,[v_Growth_catalog_clients_C].IsApp_old,yes,
7. Додаток та Пристрої,Статус додатка,Наявність старого додатка,B2C,has_old_app,BOOLEAN,growth_catalog_clients_c,IsApp_old,none,[v_Growth_catalog_clients_C].IsApp_old,yes,
7. Додаток та Пристрої,Статус додатка,Наявність нового додатка,Логістика,has_new_app,BOOLEAN,growth_catalog_clients_c,IsApp_new,none,[v_Growth_catalog_clients_C].IsApp_new,yes,
7. Додаток та Пристрої,Статус додатка,Наявність нового додатка,B2C,has_new_app,BOOLEAN,growth_catalog_clients_c,IsApp_new,none,[v_Growth_catalog_clients_C].IsApp_new,yes,
7. Додаток та Пристрої,Технічні дані,Модель телефону,B2C,phone_model,STRING,growth_catalog_clients_c,mobile_model_name,model_name,[v_Growth_catalog_clients_C].mobile_model_name,yes,
7. Додаток та Пристрої,Технічні дані,Девайс старого додатка,Не визначено,old_app_device,STRING,document_gc_nova_main,param_45,brand_name,,yes,
7. Додаток та Пристрої,Технічні дані,ОС девайсу старого додатка,Не визначено,old_app_device_os,STRING,document_gc_nova_main,param_54,operating_system,,yes,
7. Додаток та Пристрої,Технічні дані,Девайс нового додатка,Не визначено,new_app_device,STRING,document_gc_nova_main,param_48,brand_name,,yes,
7. Додаток та Пристрої,Технічні дані,ОС девайсу нового додатка,Не визначено,new_app_device_os,STRING,document_gc_nova_main,param_44,operating_system,,yes,
7. Додаток та Пристрої,Технічні дані,Мова Девайса старого додатку,,old_app_device_language,STRING,document_gc_nova_main,param_55,device_language,,yes,
7. Додаток та Пристрої,Технічні дані,Мова старого застосунку,,old_app_language,STRING,document_gc_nova_main,param_109,app_language,,yes,
7. Додаток та Пристрої,Технічні дані,Мова Девайса нового додатку,,new_app_device_language,STRING,document_gc_nova_main,param_49,device_language,,yes,
7. Додаток та Пристрої,Технічні дані,Мова нового застосунку,,new_app_language,STRING,document_gc_nova_main,param_110,app_language,,yes,
7. Додаток та Пристрої,Активність в МД,Дата останнього входу в старий дод.,Логістика,old_app_last_login_date,DATETIME,growth_catalog_clients_c,LastDay_App_old,none,[v_Growth_catalog_clients_C].LastDay_App_old,yes,
7. Додаток та Пристрої,Активність в МД,Дата останнього входу в новий дод.,Логістика,new_app_last_login_date,DATETIME,growth_catalog_clients_c,LastDay_App_new,none,[v_Growth_catalog_clients_C].LastDay_App_new,yes,
7. Додаток та Пристрої,Активність в МД,Дата першої активності в МД,Логістика,first_mobile_app_activity_date,DATETIME,growth_catalog_clients_c,Data_InstallApp,none,[v_Growth_catalog_clients_C].Data_InstallApp,yes,
7. Додаток та Пристрої,Активність в МД,Дата останньої активності в МД,Логістика,last_mobile_app_activity_date,DATETIME,growth_catalog_clients_c,LastDay_App,none,[v_Growth_catalog_clients_C].LastDay_App,yes,
8. Сфери та Мерчанти,Сфера діяльності,Сфера діяльності (категорія),Логістика,activity_category,STRING,growth_clients_activity_v,Group_activity,business_area_crm,[Growth_clients_activity_v].Group_activity,yes,
8. Сфери та Мерчанти,Сфера діяльності,Дата першої ЕН по сфері,Логістика,first_activity_category_ew_date,DATETIME,growth_clients_activity_v,DateFirst_EN_activity,none,[Growth_clients_activity_v].DateFirst_EN_activity,yes,
8. Сфери та Мерчанти,Сфера діяльності,Дата останньої ЕН по сфері,Логістика,last_activity_category_ew_date,DATETIME,growth_clients_activity_v,DateLast_EN_activity,none,[Growth_clients_activity_v].DateLast_EN_activity,yes,
8. Сфери та Мерчанти,Сфера діяльності,К-сть ЕН по сфері,Логістика,activity_category_ew_count,NUMBER,growth_clients_activity_v,Count_EN_activity,none,[Growth_clients_activity_v].Сount_EN_activity,yes,
8. Сфери та Мерчанти,Сфера діяльності,Ймовірність наступної покупки в сфері _old,Логістика,next_purchase_probability_in_category_old,NUMBER,growth_clients_activity_v,repeat_purchase_rate,none,[Growth_clients_activity_v].[repeat_purchase_rate],yes,
8. Сфери та Мерчанти,Сфера діяльності,Ймовірність наступної покупки в сфері_new,Логістика,next_purchase_probability_in_category_new,NUMBER,growth_clients_activity_v,probability,none,[Growth_clients_activity_v].probability,yes,
8. Сфери та Мерчанти,Дані Мерчанта,Код контрагента,Логістика,counterparty_code,STRING,growth_clients_merchant_v,Code_Counterparties,none,[Growth_clients_merchant_v].Code_Counterparties,yes,
8. Сфери та Мерчанти,Дані Мерчанта,ЄДРПОУ контрагента,Логістика,counterparty_edrpou,STRING,catalog_counterparties,EDRPOU,none,[dimCatalogCounterparties].EDRPOU,yes,
8. Сфери та Мерчанти,Дані Мерчанта,Назва контрагента,Логістика,counterparty_name,STRING,growth_clients_merchant_v,Description_Counterparties,counterparpaty,[Growth_clients_merchant_v].Description_Counterparties,yes,
8. Сфери та Мерчанти,Дані Мерчанта,Веб-сайт контрагента,Логістика,counterparty_website,STRING,growth_clients_merchant_v,MainWebSite,website,[Growth_clients_merchant_v].MainWebSite,yes,
8. Сфери та Мерчанти,Дані Мерчанта,Дата першої ЕН по контрагенту,Логістика,first_counterparty_ew_date,DATETIME,growth_clients_merchant_v,DateFirst_EN_merchant,none,[Growth_clients_merchant_v].DateFirst_EN_merchant,yes,
8. Сфери та Мерчанти,Дані Мерчанта,Дата останньої ЕН по контрагенту,Логістика,last_counterparty_ew_date,DATETIME,growth_clients_merchant_v,DateLast_EN_merchant,none,[Growth_clients_merchant_v].DateLast_EN_merchant,yes,
8. Сфери та Мерчанти,Дані Мерчанта,К-сть ЕН по контрагенту,Логістика,counterparty_ew_count,NUMBER,growth_clients_merchant_v,Kolvo_EN_merchant,none,[Growth_clients_merchant_v].Kolvo_EN_merchant,yes,
9. Згоди та Комунікація,Маркетингові дозволи,Згода на комун. про відкр. відд.,Логістика,consent_branch_opening_communications,BOOLEAN,document_gc_nova_main,param_58,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 58,yes,
9. Згоди та Комунікація,Маркетингові дозволи,Згода на опитування,Логістика,consent_surveys,BOOLEAN,document_gc_nova_main,param_59,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 59,yes,
9. Згоди та Комунікація,Маркетингові дозволи,Згода на проморозсилки,Логістика,consent_promotional_mailings,BOOLEAN,document_gc_nova_main,param_60,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 61,yes,
9. Згоди та Комунікація,Маркетингові дозволи,Згода на пропозиції,Логістика,consent_offers,BOOLEAN,document_gc_nova_main,param_61,none,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 60,yes,
9. Згоди та Комунікація,Історія комунікацій,Дата останнього промо повідомлення,Логістика,last_promo_message_date,DATETIME,growth_catalog_clients_c,Data_last_promo_message,none,[v_Growth_catalog_clients_C].Data_last_promo_message,yes,